지역,평균기온,최저기온,최고기온,합계강수량
서울특별시,13.2,-13.7,36.1,1775.3
부산광역시,15.4,-7.5,33.1,991.9
대구광역시,14.7,-9.3,37.8,581.0
인천광역시,11.8,-8.4,32.0,1021.1
인천광역시,12.5,-12.8,35.2,1620.5
인천광역시,11.5,-15.3,34.6,1561.8
광주광역시,14.8,-8.0,34.8,769.9
대전광역시,13.5,-13.5,35.7,1203.1
울산광역시,14.7,-8.8,35.2,926.1
세종특별자치시,13.0,-13.8,35.1,1222.4
경기도,12.8,-14.6,35.2,1864.0
경기도,12.2,-15.5,34.4,2143.4
경기도,12.2,-17.8,34.7,1537.3
경기도,11.5,-16.8,35.4,1922.6
경기도,10.7,-18.8,34.2,1730.5
강원특별자치도,7.6,-21.8,30.3,1361.2
강원특별자치도,11.9,-17.1,35.3,1728.4
강원특별자치도,13.1,-11.4,35.2,1528.7
강원특별자치도,14.7,-11.3,37.7,1465.5
강원특별자치도,13.7,-8.7,34.1,1101.4
강원특별자치도,12.4,-15.3,34.7,1394.0
강원특별자치도,11.6,-16.8,35.8,1288.7
강원특별자치도,10.9,-17.1,34.5,1497.5
강원특별자치도,11.1,-17.7,35.6,1707.7
강원특별자치도,9.1,-17.8,33.4,1088.9
강원특별자치도,10.9,-18.3,35.9,1372.6
강원특별자치도,12.9,-12.5,35.5,1637.3
강원특별자치도,11.0,-18.5,35.8,1590.8
강원특별자치도,10.5,-20.4,34.5,1752.7
충청북도,11.9,-17.5,34.7,1464.2
충청북도,13.9,-13.9,36.0,1236.4
충청북도,12.0,-13.7,34.0,928.6
충청북도,10.5,-19.8,34.3,1476.6
충청북도,11.6,-17.7,33.8,1043.5
충청남도,12.3,-13.9,34.5,1570.7
충청남도,12.7,-15.4,34.8,1389.6
충청남도,12.0,-18.1,34.1,1080.7
충청남도,13.1,-10.7,34.8,1348.4
충청남도,12.8,-12.4,35.0,1301.1
충청남도,12.2,-14.4,34.2,948.7
전라북도,13.2,-11.5,35.7,1043.4
전라북도,14.0,-9.7,35.6,1071.5
전라북도,13.3,-12.2,35.1,753.9
전라북도,13.5,-11.1,35.8,971.2
전라북도,12.0,-15.3,33.2,966.7
전라북도,13.2,-10.9,35.6,979.3
전라북도,12.9,-13.3,34.2,811.4
전라북도,11.0,-16.8,33.0,982.6
전라북도,13.3,-11.9,35.2,652.8
전라북도,13.1,-15.8,35.2,877.1
전라남도,14.3,-6.2,33.9,739.9
전라남도,15.1,-7.0,32.7,1067.4
전라남도,14.0,-3.4,32.1,668.2
전라남도,15.2,-5.5,33.8,704.4
전라남도,13.2,-11.4,33.6,987.0
전라남도,13.4,-10.7,35.0,802.7
전라남도,14.6,-9.1,34.2,1056.4
전라남도,14.5,-7.8,35.0,1033.3
전라남도,13.9,-9.5,33.9,915.9
전라남도,13.5,-12.3,34.0,794.5
전라남도,13.9,-9.4,32.9,929.7
전라남도,15.2,-7.4,33.9,1054.7
전라남도,14.0,-7.1,32.9,903.1
경상북도,13.6,-5.6,32.8,1211.4
경상북도,13.3,-10.5,35.8,1100.0
경상북도,12.6,-16.3,36.3,655.7
경상북도,13.3,-12.4,36.1,891.2
경상북도,15.1,-8.8,37.9,1061.6
경상북도,10.8,-16.0,33.4,1014.3
경상북도,11.8,-16.3,34.7,1083.8
경상북도,12.5,-13.3,34.7,1041.8
경상북도,11.3,-17.4,36.6,638.5
경상북도,13.4,-9.8,36.6,802.2
경상북도,12.2,-16.3,37.2,615.1
경상북도,13.9,-10.9,36.5,792.9
경상북도,13.2,-12.6,35.6,676.0
경상북도,13.8,-11.0,37.2,829.5
경상남도,14.7,-8.8,34.8,1049.9
경상남도,15.1,-6.3,34.0,987.8
경상남도,13.8,-11.2,34.8,966.2
경상남도,14.9,-8.6,34.6,874.0
경상남도,15.4,-7.7,34.9,996.5
경상남도,15.3,-7.0,35.8,932.5
경상남도,13.9,-12.1,36.6,784.2
경상남도,13.1,-12.9,34.8,801.5
경상남도,12.6,-12.9,35.2,638.8
경상남도,13.7,-12.0,35.4,794.3
경상남도,14.6,-10.1,36.1,843.2
경상남도,13.4,-11.9,35.4,971.4
경상남도,14.8,-6.2,32.2,1294.1
경상남도,14.7,-7.7,34.1,1338.2
제주특별자치도,17.0,-0.4,37.5,1075.8
제주특별자치도,16.4,-0.7,34.3,1257.6
제주특별자치도,16.1,-2.6,33.5,1555.0
제주특별자치도,17.2,-1.8,34.8,1561.3
